int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
90,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.638239221854647,43250604.28343079,22874.49999999967,6531.173230892319,0.9947637859452122,0.2855220105747629
91,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.707436274061075,36478406.20042579,17673.333333333194,6541.190597247321,0.9962895322281875,0.3701164049743892
92,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.6572878463867512,41943009.06622505,21869.83333333304,6533.369155470603,0.9950982474837321,0.29873886352452117
93,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.719010794171207,35470391.867092624,16901.499999999905,6541.190597247309,0.9962895322281857,0.38701834732108664
94,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.6468444115660862,45339833.867092475,24458.499999999727,6541.190597247309,0.9962895322281857,0.2674403825765023
95,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.6611223625160852,48543451.86709327,26911.499999999916,6541.19059724731,0.996289532228186,0.24306302499850735
96,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.5635043561960112,43348771.9500977,22949.666666666417,6531.173230892323,0.9947637859452128,0.2845868450184778
97,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.6150395241103416,43292505.444996096,22892.83333333302,6539.9374223183695,0.9960986610029565,0.285676190757739
98,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.6450708388981505,39491290.838451944,20052.9999999998,6494.846024948421,0.9892307848074325,0.3238840086245692
99,date ('2024-01-01 23:55:00'),50,30,6,10,150,2,true,false,0.535205911133445,37003788.61676454,18091.33333333323,6531.173230892319,0.9947637859452122,0.3610111599048728
100,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.6524038448086869,42174181.09415163,22003.66666666637,6560.8877960724885,0.9926285310709612,0.29817247713589756
101,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.46004848882385946,29746349.592994347,12639.000000000033,6464.461815354262,0.978039776839452,0.5114694054398485
102,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.6222020179670366,45710002.457773365,24733.499999999785,6546.568142723543,0.9904620412739983,0.26468425991968786
103,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.6548240856062778,37033532.222535096,18305.833333333165,6408.970500668199,0.9696442267407294,0.3501053671781267
104,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.6198612301790823,36731029.292327985,17851.16666666654,6551.133378393635,0.9911527379172039,0.3669862872675183
105,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.5692451549092461,40965042.76081847,21077.833333333117,6560.887796072504,0.9926285310709635,0.31126955471732093
106,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.6134446996329316,37539183.33012045,18628.499999999833,6450.087358119971,0.9758649954969089,0.3462483483973497
107,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.5411679184035748,39188447.4274851,19717.4999999998,6560.8877960724885,0.9926285310709612,0.3327444045174366
108,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.5950499964543062,31758831.094152607,14028.666666666692,6560.8877960724885,0.9926285310709612,0.46767721779730625
109,date ('2024-01-01 23:55:00'),50,30,6,10,150,4,true,false,0.5190965069635797,45499910.09415164,24550.16666666634,6560.8877960724885,0.9926285310709612,0.2672441244556076
110,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.7035391546176513,40469071.65454444,20667.166666666402,6580.584994897668,0.9890160138720053,0.3184076995668372
111,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.6913066846163518,44177893.987877764,23506.99999999967,6580.584994897668,0.9890160138720053,0.279941506568161
112,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.643983553508113,46134645.458855435,25039.66666666646,6558.666402565053,0.9857218023641688,0.26193105882260576
113,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.6438196981611155,43234526.65454439,22784.666666666337,6580.584994897668,0.9890160138720053,0.28881638213847455
114,date ('2024-01-01 23:55:00'),50,30,6,10,150,6,true,false,0.6988169903488712,37971781.9878781,18754.99999999987,6580.584994897668,0.9890160138720053,0.3508709674698861
