int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
202,10,12,210,0,1.0,23980944.05072256,8686333.33333338,6171136.839461059,0.6759118833725762,0.7104420936483778
203,10,12,210,0,1.0,20861710.833333284,6220499.999999985,6220499.999999997,0.681318528481423,1.000000000000002
204,10,12,210,0,1.0,22657754.166666657,6755833.33333333,6755833.333333323,0.7399524837766109,0.9999999999999989
205,10,12,210,0,1.0,20695638.333333272,6170999.999999982,6171000.0,0.675896895628786,1.0000000000000029
206,10,12,210,0,1.0,11358673.333333336,3388000.0000000005,3387999.9999999995,0.3710806485805099,0.9999999999999997
207,10,12,210,0,0.6634432234432237,15227547.5,4541166.666666666,4541166.666666668,0.49738461392528327,1.0000000000000004
208,10,12,210,0,0.9147037440930569,18801181.66666659,5606333.333333311,5606333.333333329,0.6140501208653673,1.0000000000000033
209,10,12,210,0,1.0,11967605.833333327,3569499.999999997,3569500.0000000033,0.3909599690401805,1.0000000000000016
210,10,15,30,0,0.8468131868131856,11064516.407045824,6433166.666666663,1304034.8497051422,0.9997977227276283,0.20270496899481483
211,10,15,30,0,0.9017993456924753,11676923.651166495,6937333.33333333,1281568.0744264524,0.9825725459881062,0.18473497132804917
212,10,15,30,0,0.805384615384616,8049679.476067573,4456833.333333329,1092348.3696441813,0.8374986394285652,0.2450951803547023
213,10,15,30,0,1.0,9350766.621817863,5122333.33333332,1303155.6638122203,0.999123654811578,0.2544066500576997
214,10,15,30,0,1.0,14217941.449723601,9067666.666666688,1163853.3185571278,0.8923211659147893,0.12835201836824522
215,10,15,30,0,1.0,9587805.621817887,5303833.333333329,1303155.6638122203,0.9991236548115782,0.2457007190671316
216,10,15,30,0,1.0,8349935.288484561,4355999.999999999,1303155.6638122203,0.999123654811578,0.2991633755308128
217,10,15,30,0,0.8789531079607434,9302375.11639019,5303833.333333321,1163853.3185571278,0.8923211659147893,0.21943625400945177
218,10,15,30,0,1.0,9335526.10731238,5263499.999999991,1205740.2508438611,0.924435690708196,0.22907575773608116
219,10,15,30,0,0.8796886446886436,8028200.59003353,4134166.666666665,1287528.3504312052,0.987142263107037,0.31143600494203727
220,10,15,60,0,1.0,15054448.32268014,7441500.000000004,2608597.3593688523,0.9999999999999996,0.3505472497976014
221,10,15,60,0,1.0,13895590.989346739,6554166.666666656,2608597.359368852,0.9999999999999993,0.39800595438558517
222,10,15,60,0,0.9276626681206829,11463698.21462476,5001333.333333321,2411480.5016877213,0.9244356907081958,0.48216752233159044
