int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
300,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.9023351648351658
301,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.875641025641025
302,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
303,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.6015384615384615
304,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.8556161395856056
305,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
306,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.7656776556776548
307,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.9288461538461537
308,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.7193877551020406
309,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.9209119496855344
310,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
311,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
312,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.6944915254237288
313,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
314,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.8386554621848725
315,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.8335968738640497
316,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.9583969465648856
317,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.8874045801526718
318,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.5808069792802605
319,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
320,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
321,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.927582417582417
322,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.7671004842615021
323,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.6628498727735369
324,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,1.0
325,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.856615776081425
326,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.7973076923076922
327,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.7011538461538456
328,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.6921568627450981
329,date ('2023-11-01 23:55:00'),10,30,7,26,false,false,0.7658124318429668
330,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,1.0
331,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.9574358974358974
332,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,1.0
333,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.7265903307888035
334,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.8369963369963361
335,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.8448717948717938
336,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,1.0
337,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.6296153846153847
338,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.7638347763347773
339,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.843620501635768
340,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.8729487179487174
341,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,1.0
342,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.9621834484429904
343,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.8393260694108152
344,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.9275641025641018
345,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.7680072028811524
346,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,0.8907692307692293
347,date ('2023-11-01 23:55:00'),10,30,7,28,false,false,1.0
