int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
208,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,2783.0,-6632068.666666668
209,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,0.949816849816851,3408.166666666667,-5815601.0
210,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5606.333333333334,-3678128.666666666
211,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,6191.166666666666,-2914336.3333333367
212,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5545.833333333334,-3757141.666666666
213,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5844.666666666667,-3366865.3333333316
214,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5485.333333333333,-3836154.6666666684
215,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5599.0,-3687706.0
216,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,6171.0,-2940674.0
217,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5477.999999999999,-3845732.000000003
218,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,4819.833333333333,-4705297.666666668
219,date ('2023-11-01 23:55:00'),10,30,8,22,true,false,1.0,5646.666666666666,-3625453.333333334
220,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,7219.666666666667,-2304448.6666666684
221,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,5687.0,-4306111.333333337
222,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,6251.666666666667,-3568656.6666666684
223,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,4658.5,-5649332.333333334
224,date ('2023-11-01 23:55:00'),10,30,8,24,true,false,1.0,4235.0,-6202423.333333334
